short_description,cmdb_ci
Tronweb Balancing Reports EMC Viewer  MMAGC01490 ,TronWeb - Reports
"New problem/ AFE/ CA/ 6401040060847/ Agent replaces lienholder, and encounters message:  MVR Status is None. Please check if the Driver License is valid",AFE
6401030044495 David Barsegyan - Date licensed/Good Student Discount issue,TronWeb - Issue
Submit proof of insurance to the DMV for policy:8001010051177,TronWeb - Interface
***Job GC01120 ended abnormally. 10/31/17 06:17:22.,AS400A
TronWeb Jobs P_RC164HOL/RCTZERO64 and P_RCT264HOL/RCTZERO64 FAILED - Called TronWeb On Call Joe Russo,
"TW CA: Check Memo Screen Not Displaying as Mandatory, which is not in line with Requirements.",TronWeb - Claims
***Job GC01120 ended abnormally. 12/14/16 06:17:25.,AS400A
AFE New Business Umbrella / Agent Unable To,AFE
Performance Quality Degration in AFE- for CA and PA,AFE
"New Problem / AFE / FL / Endorsement / Agent getting the following error after attempting to add liens to vehicles.  ""52",AFE
MAPFRE - Policy 8004010002341 - 10/31/16 pay cancel is out of sequence due to renewal in the way.,NCL Cover-All - Issue
New Problem / AFE / FL019262 / 5201070009515 / Replace Vehicle Endorsement - ORA error while calculate premium,AFE
8006030000703  ORA 20000 Error,TronWeb - Issue
PROT_Docusign process is Erroring out - UAT DEFECT,AFE
POI needed for Policy#6401040089710,TronWeb - Interface
Unable to add Driver Training Discount during Manual Renewal,AFE
TW doesn't balance - Step 3 Report MMAGC01001,TronWeb - Reports
***Job CLMECVAL52 ended abnormally. 07/06/17 21:00:44.,AS400A
***Job GC00770 ended abnormally. 12/02/18 22:15:53.,AS400A
Policy 6401050004861 Patch needed,TronWeb - Issue
Online Account Creation 8006020000410 - Dwelling Fire policy,B2C
MIC TW Prem Refunds 4449 - check 1014261 not sent to,TronWeb - Treasury
IT Ticket -  Submit Proof Of Insurance to DMV 6401030021419,TronWeb - Interface
CA / IVANS Download / Download duplicated address,TronWeb - Interface
Tronweb month Commissions - out of balance - November 2014,TronWeb - Reports
There is a variance between the ECM Report MMAGC01650  and the ECM Report MMAGC01670 of $209.06,TronWeb - Reports
Claim #52010716000911 - payment issued 7-23-16 for 1930.22 not printed yet. Needs to be released ,TronWeb - Treasury
Subscript out of range error trying to launch Tronweb,TronWeb - Performance
In AFE - error msg saving policy - user does not have,AFE
Attempting to issue manual renewal and receiving error - Primary drivers not balanced on valid risks,TronWeb - Issue
TRONWEB ECM REPORT MMAGC01670 NOT AVAILABLE FOR 1/20/17,TronWeb - Issue
8004010000522 POI,TronWeb - Interface
***Job GC01120 ended abnormally. 04/06/18 06:17:17.,AS400A
6.40104E+12,AFE
8004010003457 tech control,NCL Cover-All - Issue
Current Carrier - AUTOMATED REJECT REPORT FOR BATCH NO - 140551065,TronWeb - Interface
8001010057142 - System is charging double points_Clue shows is not Insd,TronWeb - Issue
6401040099285 - REQUEST TO SEND SR22 INFO TO DMV,TronWeb - Interface
0107521365520 - No Task in Web Methods for quote referral,TronWeb - Interface
***Job M_GC02140 ended abnormally. 12/02/16 05:53:33.,AS400A
CURRENT CARRIER - AUTOMATED REJECT REPORT FOR BATCH NO - 130911064,
"New Problem/ PA AP/ NJ016686/ 8001080003659/ Endt to increase deductibles, should decrease the premium, but it increases the premium instead.",TronWeb - Issue
Policy 8001010025242 Can you please generate a renewal dec page and a invoice for the term that started today 06/16/2015,TronWeb - Print
FW: Incident INC1557395 has been updated,TronWeb - Issue
***Job GC01960 ended abnormally. 10/12/17 05:06:36.,AS400A
Tronweb policy dec has incomplete address,TronWeb
MAPFRE - Policy 52-CA-001072011-Error saving policy: CallableStatementCallback; uncategorized SQLException for SQL [{call EA_K_NCLDAL_U_MMA.P_SAVE_POLICY(?)}];,NCL Cover-All - Issue
TronWeb Co 52 Claims Checks Not Printing,TronWeb - Print
6401020027774 & 6401040016621 Withdrawal of Cancellation Notices Failed to Produce (NRM),TronWeb - Print
A possitive settlement was issued on an RCU suffix.,TronWeb - Claims
Tronweb has been freezing on Chris 2-4 times per day. No other coworkers has been experiencing this issue. ,TronWeb - Issue
Coverall BOP policy 8008010000183.  Agent able to bind in Coverall but unable to sweep payment in MAPFREconnect.,AFE
***Job GC01120 ended abnormally. 07/29/16 03:45:18.,AS400A
No suffixes created on the TW end,TronWeb - Claims
8001010017722 Policy reducing premium by $59.42 on an,TronWeb - Rating
TronWeb - CA Policy mailing is missing insured mailing name and address,TronWeb - Issue
***Job GC01120 ended abnormally. 12/26/15 00:24:05.,AS400A
Fw: Tronweb payment - cl # 80010116003162,TronWeb - Claims
8001010069963/6401040114232-when binding new business agnt had issues with the agency website and processed a duplicate payment,AFE
TRONWeb Production Problem Policy Query Property Damage Limits are not Displaying Properly,TronWeb - Issue
***Job GC01120 ended abnormally. 06/07/15 00:01:38.,AS400A
TronWeb Sessions locked reference old ticket INC1379376,TronWeb
Agent Sweep Payments NOT posted Tronweb Co 80 & 64 - URGENT,TronWeb - Reports
New TW Incident- Vehicle Description changed at renewal,TronWeb - Issue
ACH File 07/26/13,
FL Gear Guidelines Issue 5201070016377,AFE
6401020000250 endorsement was done to delete a 2000 Toyota Camry and add 2011 Hyundai Sonata no DEC,TronWeb - Issue
***Job GC00830 ended abnormally. 02/09/18 01:26:55.,AS400A
6401030038317- SR-22 Issue - Insured received license suspension notice even though SR-22 data was on the record,TronWeb - Issue
TW claim 80080318000451 returned an OFAC Tech Control but the Payee details were not supplied in the Tech Control as expected,TronWeb - Claims
The policies listed below came out with a blank Certificate of Mailing (See attached),TronWeb - Print
"8001010034402 - attempting reinstate with lapse - ""Single-row subquery returns more than one row""",TronWeb - Cancellations/Reinstatements
New Problem / MA / AFE / MA agents being re-directed to portal.mapfreinsurance.com,AFE
LexisNexis - Auto File receipt notification,TronWeb - Interface
Submit proof of insurance to the DMV for policy:  6401040036254,TronWeb - Interface
6401040007840- Uninsured Motorist Form shouldn't be required,AFE
Renewal Carfax info is not being rated as required for ESTIMATED or MAM calculated accounts on first renewal.  ,TronWeb - Interface
Tronweb 6401040015867 unable to remove from EFT (POLICY NEEDS AT LEAST ONE ACTIVE DRIVER),TronWeb - Issue
Long running query 25+ hours ,MMAP01@AIXPRD1
Additional Driver Discovery Report - 8001010009196,TronWeb - Interface
Tronweb request DMV 6401030013191,TronWeb - Interface
Submit proof of insurance to the DMV for policy: 6401040082114  ,TronWeb - Interface
6401030002907 Premium changing on non premium bearing endorsement,TronWeb - Endorsements
Tron Web Policy Dec print,TronWeb
8/5/13 CWIC MMAGC01240 not equal to Showcase query IN001 $63.93  ,TronWeb - Issue
CWIC TronWeb claims account 7007 - Checks issued on,TronWeb - Claims
One of the SIU Tips in the Claim Module is firing,TronWeb - Claims
Wrong written premium on Profit Sharing downloads.,TronWeb - Reports
***Job GC00830 ended abnormally. 02/14/17 02:05:23.,AS400A
B2994JWE - CWIC option is not available in Company Dropdown,AFE
"8006010000075  The policy is in Provisional status, please correct to In Force.",TronWeb
no change in premium and inquiry does not display discount was added,TronWeb - Endorsements
FL RAP ISSUE - Policy 5201070011242,TronWeb - Issue
New occurrence / B977JLLA / 0601802981416 / AFE / downpayment not recognized by system,AFE
*New Problem/PA/AFE/HO3 elite endorsement bundle cannot,TronWeb - Issue
MEREK POCO 6401040028937: Please send proof of insurance to DMV. Insured got letter to suspend on 2/8,TronWeb - Interface
Submit SR22 to the DMV for Driver  Paul Plummer DOB 4/9/1986 6401040006813 ,TronWeb - Interface
The Tronweb BOA mmagc00420 report had no info to call in to the bank.,TronWeb - Reports
*AFE TW / Fails UW Guidelines & Should Not / AIMRW ,AFE
5201070001794 trying to put the Renewal back onto the policy. I keep getting the error message,TronWeb - Issue
IPD suffix that should default to Insured is showing up,TronWeb - Claims
Tronweb Connection Error,TronWeb - Claims
***Job GC01120 ended abnormally. 05/10/17 06:17:05.,AS400A
Technical Control Status in wM=Rejected when more than 1 endorsement is entered. Tech Control status in TW=Not worked,webMethods
6401040044426 dominic barajas_Renewal Offer Packet did not generate,TronWeb - Print
***Job GC01120 ended abnormally. 10/13/17 06:17:21.,AS400A
New Problem/AFE/ FL/ My Resources OpenCMS/ Endorsement folder and Download folder is not appearing,AFE
5/15/2015 TronWeb MMAGC01650 Report missing policy  ,TronWeb - Reports
Cgil 7 High CPU alert messages received,
8008030007618 - 14 renewals have issued for this policy,NCL Cover-All - Issue
MAC System Error,MAC - MAPFRE Admin Center
***Job NCLCLMSTS ended abnormally. 06/06/17 22:31:44.,AS400A
TW (Webster) - The February 2014 Direct Bill Trial Balance Report (MMAGC01470) is not in ECM Viewer,TronWeb - Reports
MICFlorida Company 52 Agent 70799 - Policy Renewal,TronWeb - Financial
Submit proof of insurance to the DMV for policy: POI / 6401040030062,TronWeb - Interface
"Tax ID# 481142030 being entered in MAC for claim# 52010716001791 stating ""No Records Found"" unable to pay claim",MAC - MAPFRE Admin Center
Submit SR22 to the DMV for Driver  timothy maus,TronWeb - Interface
6401040028489 No pending cancel document when PC issued 12/22 with payment due 1/6,TronWeb - Print
claim number 80090117000109 not allowing new suffix to be opened err: TRN-20316: No Files Defined to open > in MAC and TW,TronWeb - Claims
MAPFRE - Policy 8004010003331 - TECH CONTROL,NCL Cover-All - Issue
new problem/afe/fl/fl019518/5201070014051/policy number cannot be found but agent should have access,AFE
"*New Problem - AFE - FL- FL026083 - New biz app, fine when mail and loc address are same, when adding mailing address fo",AFE
Submit proof of insurance to the DMV for policy:,TronWeb - Interface
6401040027197 Cancel Notice did not generate ,TronWeb - Cancellations/Reinstatements
"8006010000047 Why is the balance on this policy showing as $2,584.00 when the premium is only $646.00 ",TronWeb - Treasury
MAPFRE - Agent is trying to bind a Garage account and has an AI Error - Unknown Additional Type: Loss Payee - Auto Dealers Physical Damage,NCL Cover-All - Issue
"Tronweb- Cannot enter daily register, another user is connected with key- ERROR",TronWeb - Financial
No DEC has generated for Renewal on Policy 8001010025203,TronWeb - Print
"Two IDs on AFE (E3010VSP and E833VSPE) - getting a message ""An error occurred during Sign On""",AFE
UAT Lienholder Entry Pre and Post Bind Apps,AFE
Company 80 default set to reinstate without fee ,TronWeb - Issue
"8001080004588 - Dec page not reflecting loyalty discount even though it has been applied, it shows it as an increase in premium of $34.00",TronWeb - Print
"No information is available when you click on ""My Resources"" - AIMMB291",AFE
***Job M_GC01120 ended abnormally. 07/01/15 05:12:24.,AS400A
payment site for tronweb is down. says there is a connection problem,TronWeb - Issue
Improve the perofrmance of MMMAGC00680,TronWeb - Reports
***Job FTPCOMEF52 ended abnormally. 06/04/17 23:07:12.,AS400A
"Locked out of TronWeb, getting (UNABLE TO RUN REQUESTED MODULE - JMT(844):null ",TronWeb - Issue
AFE/FL040057/0107522427936 / Loyalty Discount is not applying when Prior Carrier is MAPFRE,AFE
6401040009740 - Unable to delete vehicle receiving error - unable to bypass first transaction screen,TronWeb - Issue
TW claim 80010617001656- Unable to reject Tech Control due to TW data crossing over companies,TronWeb - Claims
" Check # 120826 for 870.48 on ECM report MMAGC00024 of 2/26 & 2/27, but is not at the bank",TronWeb - Treasury
8001010059677 - Unable to delete or see drivers on,TronWeb - Issue
CURRENT CARRIER - AUTOMATED REJECT REPORT FOR BATCH NO - 130921151,
ERROR: 6401030045425 -- Zip Code 92350 non-existant,TronWeb - Issue
Please Patch File 6401030009820 - error 933 REJECTION,TronWeb - Endorsements
MAC is not accepting AD password. ,MAC - MAPFRE Admin Center
"Every time she clicks to open anything, it says the page cannot be displayed",MAC - MAPFRE Admin Center
MAPFRE - Policy 5204070000447 tech control premium mismatch,NCL Cover-All - Issue
Send proof of insurance to DMV,TronWeb
long running process in mmap01 - 22 hours,MMAP01
Tronweb - 8001010009509 (POI),TronWeb - Issue
***Job FTPHOMINSP ended abnormally. 07/27/16 08:12:47.,AS400A
***Job MAILBOX_SW ended abnormally. 12/18/14 22:24:09.,AS400A
***Job GC01120 ended abnormally. 11/21/15 01:16:03.,AS400A
TronWeb Policy# 8001010017397 - premium increasing with endorsement when it shouldn't,TronWeb - Endorsements
"Ref. IR 1290749 - - While testing in MMAD13, we found that when a new business policy and an endorsement were processed",TronWeb - Print
"6401050003496 Seiko Berryhill, error processing quote ""ROOT CAUSE""",TronWeb - Issue
52010715000169 third party table -document code,TronWeb - Claims
Fw: INC1236562 - Policy 8006020000025.  Cancellation left policy in provisional status with one negative receipt for zer,TronWeb
Submit proof of insurance to the DMV for policy: 6401030012557,TronWeb - Interface
8.00108E+12,TronWeb - Endorsements
"MAPFRE NCL Policy #8008030005123, need to cancel PAY 5/7/18, please purge 6/9/18 renewal",NCL Cover-All - Issue
***Job CLMECVAL52 ended abnormally. 06/22/17 21:01:09.,AS400A
"6401030041296 changing excluded driver Qiang Xue to principal active - recd error ""a driver is listed more then one time",TronWeb - Issue
Fw: Incident INC1326860 -- CLUE Discrepancies,TronWeb - Interface
New Issue / FL / AFE TW / ORA-20000: [EA_K_TECH_CTRL_FINISH_107.P_GEN_CTRL_LEVEL8]thers:ORA-20001: TRN-20001:NON-EXISTENT CODE [PK a1001331] / 5201070010084,AFE
MAILBOX_RP RUN FOR WRONG CYCLE DATE  25-MAR-18  INSTEAD OF  26-MAR-18   ,TronWeb - Interface
Payment applied to wrong month - Tronweb / 8001010000089,TronWeb - Issue
trying to issue payment and getting an error,TronWeb - Claims
***Job EM00070 ended abnormally. 04/18/16 02:48:51.,AS400A
Submit proof of insurance to the DMV for policy: 6401020050895,TronWeb - Interface
TRONWeb Production Patch needed to change endorsement on claim,TronWeb - Claims
Locking session in production. Details attached. - MMAP01,TronWeb - Performance
Policy# 8001010004958 Please generate new ID and Dec Page to reflect insured's last name change on 03/28/13 ,TronWeb - Issue
0601801531383 home is current in escrow,TronWeb - Issue
Billing Exposure Reports due to Payments Not Processed on Holiday,TronWeb - Reports
ICD code edit not working as expected,TronWeb - Claims
Desktop crashed now One session for Company 80 will not allow unlock ,TronWeb - Interface
New Problem/CA/Multiple policies/Missing Documents in AFE and ECM,TronWeb - Print
Tronweb Month end job M_ACCL0164 terminated,TronWeb - Treasury
***Job FTPINSURE ended abnormally. 04/09/18 12:42:40.,AS400A
MAC - System taking very long to open window on claim 52040718000276,MAC - MAPFRE Admin Center
New Problem / CA / AFE New Business - Error in Bind Policy message related to 1967 vehicle,AFE
The following policies had all blocking endorsements,TronWeb - Treasury
MAPFRE - Policy 5204080000059 - Error saving policy: Policy is retained for technical control,NCL Cover-All - Issue
Submit proof of insurance to the DMV for policy:  6401020045734,TronWeb - Interface
Blue Cod FTP File forMAPFRE Tronweb did not send,TronWeb - Issue
needs remitance processor email,TronWeb - Issue
TW patch need to update endorsement# on a claim -80010115009046,TronWeb - Claims
6401030040298 Please corrected the VIN on the 1952,TronWeb - Interface
New Problem/AFE/CA/Auto/Quote #0101807152548/Not able,AFE
Submit proof of insurance to the DMV for policy: 6401020003025,TronWeb - Interface
6401030030152 - Driver Listed More Than Once Error - Patch needed,TronWeb - Issue
Submit proof of insurance to the DMV for policy:8001010010670,TronWeb - Interface
8001060004513 Can't Insert Null error - unable to,TronWeb - Financial
New Problem - CA - AFE - Agent signs on to,AFE
CURRENT CARRIER - AUTOMATED REJECT REPORT FOR BATCH NO - 130811163,TronWeb - Interface
7/22/13 CWIC & MIC Tronweb EFT Extract Report Zero amounts on report MMAGC00420 (attachment),TronWeb - Reports
8006010009907 renewal conversion not rating Additional_A_Factor and Wildfire factor are changing. ,TronWeb - Endorsements
"New Problem/AFE/CA and FL/Policy Inquiry and Billing not pulling policies stating ""Policy number cannot be found""",AFE
Submit SR22 to the DMV for Driver:   Christina Vieira 6401040014116,TronWeb - Interface
Submit proof of insurance to the DMV for policy,TronWeb - Issue
6401040061715 EFT ISSUE,TronWeb - Treasury
***Job GC01120 ended abnormally. 11/24/17 06:17:17.,AS400A
Submit proof of insurance to the DMV for policy:  6401020005124,TronWeb - Interface
Company 80 Tronweb Discrepancy,TronWeb - Reports
Tronweb Report MMAGC00530 for 1-8-13,TronWeb
The following policies showed up on the Print Error Reports on 2/29 & 3/1,TronWeb - Print
Please change Georgia's user ID in MMAP01SB to reflect her name change in order to reset password in ServiceNow,MMAP01SB@AIXPRD2
8001010662274 ield for updating years of driving experience if grayed out ,TronWeb - Issue
***Job CLMECVAL64 ended abnormally. 07/28/17 21:00:44.,AS400A
New Problem / AFE / FL / Endorsement / 5201070010040  / FL018747 / Agent unable to submit endo to update addr & e-mail. ,AFE
CA/Mapfre Connect/Unique Constraint error when calculating premium/8001010035694,AFE
SR22SR26 File Not Created ,TronWeb - Interface
Policy 6401030012891 continues to be stuck in Provisional Status.  ,TronWeb - Endorsements
"Didn't receive reports ""Mapfre transmission controls"" ",TronWeb - Reports
Submit proof of insurance to the DMV for policy:,TronWeb - Interface
6401040049596  POI Needed,TronWeb - Interface
Policy 8001010004836 Corrected final bill that issued on 5/21/13 is incorrect.  Reference IR 1228706,TronWeb
***Job GC01120 ended abnormally. 09/13/17 06:17:18.,AS400A
MAC SLOWNESS,MAC - MAPFRE Admin Center
***Job GC01120 ended abnormally. 06/10/15 04:28:44.,AS400A
8006010021141 - Agent called because declaration page has not generated for endr processed on 12/29/2017. ,TronWeb - Print
***Job GC02710 ended abnormally. 11/20/18 11:13:17.,AS400A
Incident INC1487226 has been opened on your behalf,TronWeb - Interface
6401040106585 - This policy will not let us exclude the driver Francisco Romero Portillo from the policy can you please fix this issue.,TronWeb - Issue
Agent changing MAILING address on homeowner policy &,AFE
New Problem/PA/AFE/Current Carrier Information not returned under Driver History Page,AFE
Tronweb Unable to change pay plan 6401030033208,TronWeb - Treasury
AUTOMATED REJECT REPORT FOR BATCH NO - 160951046 - May Contain PII Combination Data,LexisNexis
Submit proof of insurance to the DMV for policy: 6401030000706,TronWeb - Interface
"Tronweb Issue payment made on policy 8001010027297 to prevent cancel, but policy cancelled",TronWeb - Treasury
8001060002451 - Getting error while trying to reinstatement,MAC - MAPFRE Admin Center
Submit SR-22 to the DMV for policy:  6401030018805,TronWeb - Interface
Tronweb is frozen,TronWeb - Issue
Tronweb 6401040016803 URGENT (unique constraint,TronWeb - Treasury
TW patch needed to delete the Reserve Tech Control holding up a payment on claim 52010717000327,TronWeb - Claims
8006020000819 from Quote 0602800022538 fireline score 4 without requiring underwriting approval,AFE
*New Problem / AZ / AFE Binding / Error in Bind - Stemmed from INC1399685,TronWeb - Issue
"Policy #6401030019058 - adding new driver - error ""a driver is listed more then one time on this policy""",TronWeb - Issue
AFE Endorsement / There was a problem trying to display this page. Please press the back key or button and return to you,AFE
ECM Viewer Report Error Message for Tronweb Report - MMAGC01470,TronWeb - Reports
"AFE CA- AIFAR188-""No rates found for this ZIP/Territory- Territory"" error received for zip code 93673 - Traver, CA",AFE
5201070011904 -  I need to change the mailing address for this policy to a Canadian address,TronWeb - Issue
INC1459207 - can this be escalated?,TronWeb - Interface
MAPFRE - Policy 8004010002387 provisional report,NCL Cover-All - Issue
MAPFRE - MA/BOP Renewal Download/Various agencies aren't receiving their BOP renewals,NCL Cover-All - Issue
"TronWeb - daily register is locked, company 80",TronWeb - Financial
The policies listed below are on the TWAPC Report today,TronWeb - Print
Submit proof of insurance to the DMV for policy:8001010006587,TronWeb - Interface
Policy# 8001010014721 missing dec page,TronWeb - Issue
Submit proof of insurance to the DMV for policy:6401040042450,TronWeb - Interface
Updating Garaging Location on Vehicle screen,TronWeb - Endorsements
***Job GC01980 ended abnormally. 01/15/17 05:22:05.,AS400A
Urgent Electronic Filing to DMV,TronWeb - Interface
TRYING TO TAKE POLICY OUT OF PROVISIONAL AND GOT ERROR,TronWeb - Issue
MAPFRE - Tronweb Pending cancel report,TronWeb - Reports
"TW #6401020005354  rec'd error while attempting to apply a payment - ""no data found""",TronWeb - Treasury
6401020035875 - Stuck in Provisional with -2 Tech Control,TronWeb - Issue
6401020002933 - PLEASE REMOVE THE PROVISIONAL STATUS.,TronWeb - Issue
The following policies showed up on the TW APC Error Report today with error code H129,TronWeb - Reports
Dec page not generating 8001010007646      Joseph Ng.,TronWeb - Print
TW - 8001010010533 indicates EFT payment was discarded>improper banking info,TronWeb - Treasury
"MAPFRE - Policy 8004010000788  Error saving policy: cannot insert NULL into (""TRON2000"".""A2000031"".""NOM_RIESGO"")",NCL Cover-All - Issue
Submit SR22 to the DMV for Driver  Winter Meyer,TronWeb - Interface
Weekly Renewal error as follows: 6401030029511   6401030038237 must have at least 1 active driver,TronWeb - Issue
"8001010004058 Please lift the pending cancel. Also, the",TronWeb
Submit proof of insurance to the DMV for policy:6401040062375 / JOSE ANGUIANO DMV - POI,TronWeb - Interface
ROOT CAUSE - Tech Control 972  firing Incorrectly,
Policies stuck in pending cancel status continue to send invoices ,TronWeb - Treasury
POI needed on 6401030041724,TronWeb - Interface
6401020005030  Cannot apply payment through settlement receipts,TronWeb - Issue
TOP 10: 06/12/2017 - MAPFRE NCL Policy #8008010000485,NCL Cover-All - Issue
Tronweb Problem - ME outstanding Reports,TronWeb
6401040015436 - Incorrect premium being charged to insured after cancelled policy,TronWeb - Treasury
Manual Renewal - 8001060001909,TronWeb - Renewals
tronweb - Won't clear after I completed task,TronWeb - Issue
6401040027742 print issue,TronWeb - Print
Job CAIVANS52 was ended per Jakki's request at 10:02am,AS400A
TRONWEB DAILY LOSSES,
AFE ENDR / ERROR / A driver is listed more than one time on this policy / AIMRW019,TronWeb - Endorsements
"10/28/13 CWIC Tronweb (REMIT, $48.40 & Pol#6401030072335)",TronWeb - Treasury
FL / AFE / Agent quote on the 4th for the 26th and got,AFE
Policy 6401040010600 is appearing on the Pending Issue Transaction Report as of 8/9/13.,TronWeb - Issue
"REFUND CK 1002033 FOR 5201070002407 DIDN'T PRINT, IT'S",TronWeb - Financial
"While reviewing questionable data pulled for our annual market conduct statement, I came across three problems that need",TronWeb - Treasury
TW Policy,TronWeb - Issue
TronWeb Policy # 8001010004032 (unable to process endorsement against policy with future renewal),TronWeb - Endorsements
Unable to complete a quote in mapfre connect. - there was a problem trying to display this page.,AFE
MAC system - getting an error when pulling up a policy,MAC - MAPFRE Admin Center
"P_TWREPORT's job, EM02200 has been running over 80 minutes",TronWeb - Reports
Def Id 481 - CA MIC 101 - UW question not filled in on Prebind or Postbind app,AFE
2 checks are stuck in the print queue. Unable to force the print. Checks 129696 129698. ,TronWeb - Print
AFE/New Business Application shows policy premium of $213.00 instead of the correct amount of $66.00.,AFE
New Problem - CA - AFE ENDR - Agent trying to process,AFE
Submit proof of insurance to the DMV for policy:6401040001235,TronWeb - Interface
Submit proof of insurance to the DMV for policy:,TronWeb - Interface
MIC Tronweb Remittance ECMViewer Reports Out of Balance - 3/7/13  **See attachment**,TronWeb - Issue
Policy 6401020000489.  Receipt 75191 was collected twice on 4/5/13.  Once manually and once by EFT.,TronWeb - Treasury
8001010003231- POI,TronWeb - Interface
Tronweb claim is locked by another user,TronWeb - Issue
"Agent going back in to quote, after 1st page hits ""Next"" and gets error message: There was a problem trying to display ",AFE
report MMACO00790 for 1/1/2015 cannot be opened in the viewer.   ,TronWeb - Reports
FL Model year factors is not matching for collision(1400),TronWeb - Issue
6401020001655 - New TW incident- VIN NUMBER LESS THEN 10 CHARACTERS - POI Request,TronWeb - Interface
***Job EM00070 ended abnormally. 09/22/16 01:45:46.,AS400A
Agent hits endorsement button and receives error - Error in Bind Policy:6401050007140,AFE
6401040094195 - SYSTEM IS REFLECTING A REMAINING BALANCE_POLICY WAS FLAT CANCELLED AS OF EFF DATE,TronWeb - Issue
Need a Validity Edit on Agency Sweep Payments - Ensure that Agent is Set Up for Agency Sweep - dup of 1232080,TronWeb - Treasury
Weekly Renewal Error Ticket 6401030003211,TronWeb - Renewals
NEW TRONWEB- PRODUCTION- ATTORNEY ADDITIONAL DATA SCREEN NOT PREFILLING PROPERLY,TronWeb - Issue
LexisNexis - Mortgage File receipt notification  - 6 formatting error records.,TronWeb - Print
"Can""t query policies in TW - Fatal Error",TronWeb
*New Problem/CA/AFE Endorsement Processing/ Agents are able to adjust annual mileage in AFE on an endorsement when they,AFE
"Alcohol awareness discount is included in the quote from AFE, however is not included in the TW policy ",TronWeb - Issue
***Job GC01120 ended abnormally. 01/22/18 06:20:23.,AS400A
Agent unable to make sweep payments for policy or for any other Company 80 policy as it is not an option,AFE
Submit proof of insurance to the DMV for policy:,TronWeb - Interface
TronWeb is unavailable - getting a login prompt with 5 entry fields  (affecting others in her area),TronWeb - Issue
TW ERROR 8001010000620 NUMERIC VALUE ERROR,TronWeb - Treasury
***Job FTPISAWKLY ended abnormally. 10/16/16 03:37:56.,AS400A
Submit proof of insurance to the DMV for policy:6401020013971,TronWeb - Interface
8001010006372 unable to add LP prior to loss date ERR,TronWeb - Endorsements
AFE / New Problem / Endorsement / Policy# 8001010053460 / Login# CA015092 / Agent unable to process change to replace ve,TronWeb - Issue
New Problem-AFE-CA006089-0101805542355-Road America,AFE
6401040104451 Pascual Duran Padilla ,TronWeb - Interface
Tronweb policy locked by another user - 52010718000973,TronWeb - Claims
"Tron Web Policy # 6401030000035,  please generate a renewal dec page",TronWeb
MAC is running really slow,MAC - MAPFRE Admin Center
"6401040095010- Process Failure AFE/TW, policy should not have bound without photos",AFE
New Problem/CA018272/AFE/0101802136986 -  [EM_K_TA010900.P_GET_PD_SYMBOL]NON-EXISTENT CODE ,AFE
Out of Balance,TronWeb - Treasury
"Missing ecm reports mmagc00910 , mmagc00915 and mmagc01050 for 5-14",TronWeb - Reports
The following policies were on the TWAPC Report this morning with a status code of H129,TronWeb - Print
Endorsement gives error that UIM changes cannot be backdated when no change is made.,AFE
Applied Rater(Comparative Rater) Reported that some mapfre quotes are failing with the error - 20099101 [ [em_k_cal_factores_mma [] [107025]]] for Florida Auto,TronWeb - Issue
MAC system is down - getting this page cannot be displayed,MAC - MAPFRE Admin Center
my cashier for Tronweb is out of balance,TronWeb - Treasury
6401030019563_system reinstated policy when it was not eligible,TronWeb - Issue
FLORIDA policy 5201070001254 Policy composition factor,TronWeb - Rating
"TronWeb - two sessions are locked, and unable to unlock through session maintenance",TronWeb - Issue
RE: 2019 VIN's,TronWeb - Issue
Policy# 6401030000810 Please look into why the proof of SR22 and continued coverage are not being sent to the CA DMV ,TronWeb - Interface
TW Claims Tech Control query in company 80 is not working as expected,TronWeb - Claims
TW Error report - Errors 8001010026816,TronWeb - Issue
***Job GC01120 ended abnormally. 01/25/18 07:07:38.,AS400A
8001010019430 - Error REceived When Processing Manual Renewal,TronWeb - Issue
"MAPFRE NCL Policy #8008010000680 In CoverAll policy has expired, but in TW a new invoice was sent out on 6/11/17 for the $owed for the 2015 term",NCL Cover-All - Issue
***Job GC01960 ended abnormally. 11/07/17 08:13:17.,AS400A
8006010013577 - Changed named insured and second named insured which caused a $5 increase,TronWeb - Issue
FL GEAR QUOTE - Possibly install issue 0107521797967,TronWeb - Issue
New Problem / 90507 / 0604800429947 / AZ / AFE / Fire Territory field is blank - quote is being declined as a result.,AFE
Tronweb USA - Report MMAGC00590 does not print when checks are issued after the first check run of the month,TronWeb - Treasury
Submit proof of insurance to the DMV for policy:6401040001906,TronWeb - Interface
POI needed for pol#8001010051337,TronWeb - Interface
TW DMV request 8001010001198,TronWeb
"TronWeb - unable to login, not getting the login screen - was in earlier and the session froze",TronWeb
ROOT CAUSE - Prevent payments from being applied to reciepts when policy is in provisional status (refer to INC1398471),TronWeb - Treasury
Tronweb DMV 6401040004595,TronWeb - Interface
***Job GC01120 ended abnormally. 06/25/16 00:32:56.,AS400A
Tronweb 8001010000926 no EFT draft,TronWeb - Issue
New problem /ca /afe / ca010946/ 0601803165053/error message appears on quote page about 'invalid year- roof update',AFE
new problem/afe/ca007170/0101807010488/ error in quote where discount option for good student is not available,AFE
8001010058625:CLUE Report did not generate,AFE
Unable to log into MMAD10 - Prompt hangs at wW. Please kill any running sessions. - See attachment,MMAD10@AIXDEV1
